lichess_id,ply,result,risck_player
DKR130Qe,75,1-0,White
cYnJUqF5,71,1-0,White
azbj2p5N,66,0-1,Black
AUfaQZM1,74,0-1,Black
n8z6WF4t,82,0-1,Black
554LPi3W,67,1-0,White
d2v3wg4u,72,0-1,Black
iFV4493a,102,0-1,Black
gTovwNze,124,1/2-1/2,Black
w6Vo8AoE,89,1-0,White
q8vNewml,82,0-1,Black
21EIL2ZM,68,0-1,Black
YhmGdqdw,117,0-1,White
tCIIqciu,48,0-1,Black
BBM6Ueaw,84,0-1,Black
F1gYpcbP,96,0-1,Black
M6yYUfnq,96,1-0,Black
CpqeJXWR,104,0-1,Black
itIPYsAw,87,1-0,White
YDvLa0Bu,58,1-0,Black
yyPOo4Hj,78,0-1,Black
RcEFgPCU,94,0-1,Black
9hLjeQk6,115,1/2-1/2,White
9O7V3Ffw,114,0-1,Black
aKjRKevo,66,0-1,Black
VAwGTVc8,69,0-1,White
bzfAzeTG,81,1-0,White
iL5J6qbQ,107,0-1,White
q1iT4tcY,84,0-1,Black
4atXBKvJ,76,0-1,Black
jST21Yjj,69,0-1,White
UdOEyUeS,76,0-1,Black
if9674MJ,77,1-0,White
I9W5VPKe,73,0-1,White
XbVtAkOY,80,0-1,Black
cwhFahky,56,0-1,Black
HtoLqjJN,49,0-1,White
8z6NCcO3,52,0-1,Black
4D38zwJa,57,0-1,White
rhnJbkPL,94,0-1,Black
WqcHynXF,71,1-0,White
eFECdY3J,77,1-0,White
qhrJTtKG,72,0-1,Black
WR2dSIDq,100,1-0,Black
PIwchtsm,87,1-0,White
7S2FmaV7,110,1-0,Black
8nDwcrQ8,61,1-0,White
bNozd84Y,60,0-1,Black
JPKVca4o,132,0-1,Black
h1Ay3hyl,78,0-1,Black
45XbewFQ,110,1/2-1/2,Black
bO3H1fJc,40,1-0,Black
3tbyamCh,75,1-0,White
X1ZJDZR8,90,0-1,Black
B7cHnxvp,58,0-1,Black
VQAHLDZb,61,1-0,White
GTmaHeyk,88,0-1,Black
qFiqqM8c,63,0-1,White
ZpPTTn2k,67,1-0,White
75LBPaD0,73,1-0,White
WcKO4JVg,66,0-1,Black
upNUyGEi,58,0-1,Black
rdDHuJFW,92,1-0,Black
NKwHPmmW,76,0-1,Black
CtiMhp4G,111,1-0,White
GNGmF1mT,74,0-1,Black
LohW00mS,36,0-1,Black
ys0KspXe,76,0-1,Black
UywIl2xo,77,0-1,White
5t8Ux1NQ,106,1/2-1/2,Black
NJE5WdIX,111,1-0,White
hNf5z2M1,65,1-0,White
x1z1Kubn,81,1-0,White
tHVSfats,56,0-1,Black
G6vGyDqG,62,0-1,Black
HBYCLtVp,84,0-1,Black
AcRuU45X,105,1-0,White
qxaQoUBA,90,0-1,Black
UL4CKFyl,86,1-0,Black
1Lfu9ghD,62,1-0,Black
BHe9hjCL,88,0-1,Black
QDPrg65B,106,1-0,Black
bPdJzJxD,85,1-0,White
FPqvDPTw,102,0-1,Black
rvcpaFJT,50,0-1,Black
wDJE4JuG,68,0-1,Black
NCZC4VaS,145,1-0,White
mrNzhdCK,98,0-1,Black
BA1loyIc,99,0-1,White
3QRin04K,78,0-1,Black
4K1MLMCE,78,1-0,Black
W9Qo9rsD,188,0-1,Black
VyvOGeqF,115,1-0,White
hoGwKSz0,74,0-1,Black
UkjtNURs,50,0-1,Black
e9CIlqth,60,0-1,Black
EghpiirX,98,0-1,Black
So8BOeLW,59,1-0,White
31o2kpNz,64,0-1,Black
o2ccUWBI,77,0-1,White
t8QngkeK,55,1-0,White
YSTi7oHK,88,0-1,Black
Pr5FEMWE,85,0-1,White
LUfeXwli,32,0-1,Black
vnTJl1KL,65,1-0,White
LYM5cDXm,98,0-1,Black
dbCxH9yH,89,1-0,White
9UvZOwvp,60,0-1,Black
BhUQniIJ,114,1-0,Black
dzd0AOYN,78,0-1,Black
pU2gLW0e,77,1-0,White
NmOHho4W,50,0-1,Black
JCfAob6g,70,0-1,Black
kALbzthR,114,1-0,Black
yxQy27Sp,123,1/2-1/2,White
E6fmbnxi,75,1-0,White
umTgQi36,69,1-0,White
mJwseydq,98,0-1,Black
4oyOK4gX,51,0-1,White
vZQ4MaCE,76,0-1,Black
WNgbKhHz,72,1-0,Black
z5Ver5HN,66,0-1,Black
la0oezdn,73,1-0,White
V9mlMoge,96,0-1,Black
rnCseGAq,58,0-1,Black
FD8j68pg,82,0-1,Black
wTZRUcJK,68,0-1,Black
vrafOfX3,57,1-0,White
F83eUPj1,114,0-1,Black
9pv3FkFd,61,1-0,White
2FKatd3O,97,1-0,White
Q2gTJtFi,77,1-0,White
YKnRBbPJ,74,0-1,Black
Gk8fvOdY,88,0-1,Black
vxKabYbV,52,0-1,Black
UbkkXFDZ,81,1-0,White
5D4krznO,87,1-0,White
EL3RQNRY,54,0-1,Black
E3PLGIuY,104,0-1,Black
3w7FM5if,122,0-1,Black
1oyHTJDi,90,0-1,Black
1vagDVAF,70,1-0,Black
RgNICFQo,79,1-0,White
HMUQ9KOg,93,1-0,White
cUdYHHA8,81,0-1,White
nZi47Xrr,125,1-0,White
iJ8C69GV,92,1-0,Black
A2vmQXJx,60,0-1,Black
1CUPdXwD,57,1-0,White
Uw7YHuLP,138,0-1,Black
4Q5BKYVC,66,0-1,Black
dRBEDy8q,85,0-1,White
v94a2mxy,59,1-0,White
uFxlZFOx,90,1-0,Black
Cd6hUMb6,118,0-1,Black
dsk9UOHl,85,1-0,White
zdr0MALB,64,0-1,Black
EkznTFmh,77,0-1,White
8tG9dYEN,84,0-1,Black
1wRzhUVV,76,0-1,Black
NPZSHQiS,114,0-1,Black
4g0QZmVu,84,0-1,Black
vf4efVO9,73,1-0,White
FVTqfegL,74,0-1,Black
O67aTLlX,115,1-0,White
lrkfpjsB,65,1-0,White
SBrzXPXV,106,1/2-1/2,Black
Hjb9DYTN,59,1-0,White
WB3cvrXk,139,0-1,White
OQt5fez0,65,1-0,White
qbJL5uWN,75,0-1,White
vg1NseGP,48,0-1,Black
BreX0WiB,107,1-0,White
BdQrVRWZ,87,1-0,White
FGpuc64u,73,1-0,White
7rQhRFhn,63,1-0,White
54FpmzSc,55,1-0,White
oTnHM2uh,66,0-1,Black
kmsoX7q4,70,0-1,Black
zSUZ3v4I,90,0-1,Black
70Gwlb39,90,0-1,Black
ZNdDjPaV,91,1-0,White
XiyA5bhs,51,1-0,White
fjfJDFOm,101,1-0,White
VgBtWjnX,57,1-0,White
qm0UAOcS,69,1-0,White
AGJXlCza,64,0-1,Black
VxixXv4C,95,1-0,White
KgXfH2AL,57,1-0,White
hzzsQI49,74,0-1,Black
AjTnd0rb,94,0-1,Black
O3OHxYOU,71,1-0,White
0KIi4Quq,137,1-0,White
GlMKckbY,62,0-1,Black
2gZjCAIF,120,0-1,Black
I3zzXfVW,46,0-1,Black
QL1MF0fr,58,0-1,Black
c9EZdCz9,78,0-1,Black
RqibxxTq,71,1-0,White
xIqSOaRV,94,1/2-1/2,Black
C5IVLxyJ,73,1-0,White
CnORUaTh,137,0-1,White
mgQYSJkI,109,1-0,White
HY72J0W6,95,1-0,White
WYRZxZY8,131,1-0,White
2xbhpdN1,101,1-0,White
JBhCdua8,68,0-1,Black
WiNgCC19,108,0-1,Black
EL6B2cgV,76,0-1,Black
jaOz1ngJ,111,1-0,White
UAxahVxp,127,1-0,White
W8Vxv26F,59,0-1,White
HNTk2G15,110,1-0,Black
4gkpZDuu,58,0-1,Black
n5VFt6Ub,90,0-1,Black
QHa7F2Zv,79,1-0,White
WH4uo1ay,77,1-0,White
5Yn7sglF,108,0-1,Black
2HqpxlGF,70,0-1,Black
LJbN6GnW,47,1-0,White
iFRdmbsz,72,0-1,Black
p6m0hPGz,50,0-1,Black
yPkc1Eze,117,1-0,White
5isiNMpa,82,0-1,Black
AS63bFWy,121,1-0,White
XmSP03iH,64,1-0,Black
4tH4J3Pw,60,0-1,Black
N10vSXlL,63,1-0,White
5AxW5JEo,68,1-0,Black
VkKhUPeg,38,0-1,Black
QiXldLVu,79,1-0,White
TKVbpRDB,77,1-0,White
LUQGdfzc,126,0-1,Black
N048NYzx,69,1-0,White
lnUDpU14,75,1-0,White
EHAjhRCF,61,1-0,White
LxMTg6U3,92,0-1,Black
ZU1gK35T,84,0-1,Black
UMpx3JM8,105,1-0,White
7uAAo8FI,78,0-1,Black
cAfbRkFJ,50,0-1,Black
PB88fnnY,88,1-0,Black
9tfctLPu,83,1-0,White
iWtA4gR7,57,1-0,White
02MxEmuh,80,0-1,Black
5nUvl89l,82,0-1,Black
TbCGpgHR,52,0-1,Black
zESYbFD2,101,1-0,White
7Y9kt7mN,57,1-0,White
TjgWpeqJ,74,0-1,Black
MO2RDfOg,99,1-0,White
z186rbkp,144,1-0,Black
WAr9BPv0,54,0-1,Black
2PvD20h9,86,0-1,Black
5J1ZRgAg,75,1-0,White
7gqx5SZm,105,0-1,White
lKrwnKsQ,79,1-0,White
NMvPOhBU,76,0-1,Black
OsjDSL2h,94,0-1,Black
T4A1j4Bu,66,0-1,Black
BPsXrYJ5,84,0-1,Black
6OjqKq1X,46,0-1,Black
kw3gcBQk,73,1-0,White
IEh14by1,117,1-0,White
gI9lw8ib,77,1-0,White
Qcty8Cnz,120,0-1,Black
3COupTbL,85,1-0,White
IBfwkK4w,71,1-0,White
hWYiHZ3D,55,1-0,White
tbMyFpOR,64,1-0,Black
t49o37PB,42,0-1,Black
7moEbZSg,71,1-0,White
zMoon59Q,95,1-0,White
Ybw1OzrL,78,1-0,Black
A1neKqFE,49,1-0,White
skIorxlG,89,1-0,White
TKrp4wqH,99,1-0,White
1PuwcDkx,70,0-1,Black
CLUFe4Vp,72,0-1,Black
VgcwFPUT,68,0-1,Black
56szH23E,96,0-1,Black
vdDkwMX2,76,0-1,Black
bLdzAkLh,59,0-1,White
M9d6OYBy,40,0-1,Black
izAbU358,113,1-0,White
TLyqZOz9,92,0-1,Black
7hPs2cLt,78,0-1,Black
QL0eGdeQ,58,0-1,Black
OfSuXsbT,90,0-1,Black
Y0ci1IXM,63,1-0,White
HpYbEjK6,55,1-0,White
VElqyoSM,76,0-1,Black
Sip05NAH,62,0-1,Black
KKcuUF7m,50,0-1,Black
nHX1IUVW,81,1-0,White
ssVlpTJQ,101,1-0,White
omRQK919,61,1-0,White
BYM3yNsz,74,0-1,Black
8yruzlCt,65,0-1,White
AmCAn5TU,107,1-0,White
jMPPKpKS,75,1-0,White
bg3PYgeo,50,0-1,Black
u6Klp9Gi,69,1-0,White
4x8KpSNK,57,1-0,White
6A3lKY7F,63,1-0,White
q1eh2nnO,70,0-1,Black
nLYi98dT,86,0-1,Black
bjw4op2K,105,0-1,White
RmDyjzaG,104,0-1,Black
0msgw7W2,101,1-0,White
9pSTkN8N,89,1-0,White
S6o9IhRj,79,1-0,White
cSw6qbVl,81,1-0,White
etcpdcJb,90,0-1,Black
v1HY1EGU,77,1-0,White
03DFqG51,76,1-0,Black
FUfpF57M,66,0-1,Black
ULALvZmx,69,1-0,White
0jx4IQFM,62,0-1,Black
NI1jkyn1,138,0-1,Black
F17EcYSo,72,0-1,Black
oQZd7p2G,126,0-1,Black
DIFO4Iea,91,0-1,White
mXTKIbB9,59,1-0,White
Fj9RWvn8,42,0-1,Black
JPKydUDL,66,0-1,Black
RbdmEFwq,109,1-0,White
N2EcKDsY,76,1/2-1/2,Black
AkmcSrX5,62,0-1,Black
Gjr9XCMV,66,0-1,Black
BkXG0Gc7,74,0-1,Black
O7Utei0p,63,1-0,White
hZfZrWUa,78,0-1,Black
RzC48lBg,110,0-1,Black
cn0gfZGP,98,0-1,Black
ZAuC6isy,69,1-0,White
9hBwz7uQ,82,0-1,Black
SpAuUE62,95,0-1,White
NXxUcPMT,52,0-1,Black
8KxqNrwk,72,0-1,Black
DmbEili2,87,1-0,White
NAxoINXr,83,1-0,White
LzGqGGng,89,1-0,White
ltUXFM7i,92,1-0,Black
6wXxkHhO,75,0-1,White
8LpJ9JcH,47,1-0,White
CxBJR5Mp,46,0-1,Black
jEstFRVL,67,1-0,White
Z4yxkOju,50,0-1,Black
uJIPDfmU,79,0-1,White
GvTZe87Y,85,1-0,White
0RVbhT0N,83,1-0,White
ly8tcBwe,66,0-1,Black
Vg5AihKH,151,1-0,White
YNATcNYv,85,1-0,White
m5DNYwPd,68,0-1,Black
OuiaijKC,73,1-0,White
RlCLZoKJ,65,1-0,White
Srdwkalm,48,0-1,Black
eVYFZLIY,108,0-1,Black
rmSaK0oT,121,1-0,White
8rWNAdFZ,50,0-1,Black
ffhrgFty,77,1-0,White
YewW0Q9K,91,1-0,White
1wUvphcQ,64,0-1,Black
dwb6X5iI,63,1-0,White
TKdzQUjJ,103,1-0,White
OloAcZNE,63,1-0,White
0yDQN0eN,55,1-0,White
ZbgZQomi,83,1-0,White
wh5qse7T,85,0-1,White
TQTSDuRE,66,1-0,Black
soDtFoKO,85,1-0,White
NN48DL5n,77,1-0,White
zrw1TmcB,71,1-0,White
iKeTiPvT,102,1/2-1/2,Black
A8LEjiyP,73,1-0,White
AZaXQsb9,81,1-0,White
6O4Wz2qF,106,0-1,Black
2Lm2RG0J,76,0-1,Black
hogcltsp,107,1-0,White
NeeNrxrN,75,1-0,White
JyfzH5Un,66,0-1,Black
bOXEi3DO,136,0-1,Black
BN3Zw2It,69,1-0,White
XNfg2muh,58,0-1,Black
d6YOXahJ,90,0-1,Black
b71i44An,56,0-1,Black
tkMwgwVm,51,1-0,White
cuTQxHDQ,78,0-1,Black
KRGLnRP6,63,1-0,White
ZAa56gjn,76,0-1,Black
7sgpErZI,38,0-1,Black
y81uqr8b,57,1-0,White
BMFaSGLK,86,1-0,Black
adyyFNHB,69,1-0,White
vl8pnwiH,71,1-0,White
44eelpUB,87,0-1,White
cioOU1gl,45,1-0,White
EwgMNROV,92,0-1,Black
xqN9pgpZ,66,1-0,Black
20To4aGD,57,1-0,White
zW25d0VD,82,0-1,Black
SBe2gSsa,85,1-0,White
6DhcFXr9,78,0-1,Black
OEDieiVL,107,1-0,White
JDkd5pX7,41,1-0,White
u1fYwfJs,66,0-1,Black
M6wzTpeu,80,1-0,Black
wYqcPYpF,76,0-1,Black
TXmGXwey,132,0-1,Black
oBXo0zFs,49,1-0,White
0v8290dA,123,1-0,White
Q2nW8544,117,1-0,White
E6ryoEoS,143,0-1,White
myKPV41A,36,0-1,Black
1k0JHCqV,75,0-1,White
fLed4Dlx,60,0-1,Black
CFczQrgX,80,0-1,Black
pR0VieTK,88,0-1,Black
3UJQAiZP,40,0-1,Black
KVBtUzsK,54,0-1,Black
Y7aYPQDt,68,0-1,Black
GljquNIw,67,0-1,White
fWKWWBAN,72,1-0,Black
BbH1iZBh,58,0-1,Black
Jbz5zdC1,78,0-1,Black
z4IPWHZR,84,0-1,Black
tlqPTMAy,68,0-1,Black
KcazfnlY,82,0-1,Black
2q1bmggF,62,0-1,Black
krFeZVSV,86,1-0,Black
0xPIovGl,79,1-0,White
J9mRzqSQ,101,1-0,White
6wuXiTYP,63,1-0,White
MJCuwzLR,84,0-1,Black
VnZjqq4J,68,0-1,Black
1yqaT6xZ,56,0-1,Black
JO4VgSGy,81,1-0,White
bkZbntVF,51,1-0,White
TwezD5s0,90,0-1,Black
5lkHT6Ip,87,1-0,White
eKd1ILoC,89,1-0,White
OiQ9QXXm,111,1-0,White
2LL52y9V,67,1-0,White
YxvXzsvV,90,0-1,Black
0GZ0chXa,65,1-0,White
jkPrCzvd,97,1-0,White
rzDjMNVn,57,1-0,White
EgwRxiWb,77,1-0,White
Dun1jEw9,86,0-1,Black
5slDhoQS,54,0-1,Black
YST705sC,96,0-1,Black
xB3RpyxR,69,1-0,White
H219Ig5X,81,1-0,White
UyIoC1l2,62,0-1,Black
23244RSs,60,1-0,Black
Di6LsQZD,67,1-0,White
c5XJHq0p,72,0-1,Black
V2YGV3bG,51,1-0,White
WYRZxZY8,129,1-0,White
l6bQL3PU,109,1-0,White
DjCwSVGv,80,0-1,Black
1g8V99Ay,43,1-0,White
4VIhljDT,98,0-1,Black
PJaAIzT0,55,1-0,White
0HKqXIsM,117,1-0,White
UYaoWTgM,57,0-1,White
2myCiZbX,61,1-0,White
3m9BvxRR,159,1-0,White
Uyt0E5IU,66,0-1,Black
Te99mLjO,69,1-0,White
AOSu9cQ8,58,1-0,Black
O73Mp1jW,85,1-0,White
cHlnczZc,89,1-0,White
LXE8RSce,110,0-1,Black
6euOohZT,94,0-1,Black
MSFJgbVH,79,0-1,White
