lichess_id,ply,result,risck_player
aeTa1Dne,81,0-1,White
nFJxhW45,110,0-1,Black
0RgZis4w,44,0-1,Black
TesuF4A3,68,0-1,Black
rR3n104u,96,0-1,Black
75GjY1Gc,55,1-0,White
BDdP5OxH,77,1-0,White
8pQXC6Ge,54,0-1,Black
xo6BT1a6,63,1-0,White
4bvzalMR,59,1-0,White
cXTMgJNb,131,1-0,White
F5rtyG29,98,0-1,Black
jpQb3KLi,94,0-1,Black
KQYvLyJ8,131,1-0,White
AvJoHwOC,77,1-0,White
cagkBlZ9,61,1-0,White
F0bUKHFN,78,0-1,Black
IbxQtswN,138,1-0,Black
T4Vkhyhz,108,0-1,Black
PDi1AnoH,84,0-1,Black
WzDiFp0H,64,0-1,Black
EQXVeZlu,60,0-1,Black
0g1admcR,88,0-1,Black
CHHtwtJj,66,0-1,Black
pe9ZznW4,65,1-0,White
mFangh6E,45,1-0,White
5zMqLMhA,67,1-0,White
n4qVdt9j,40,0-1,Black
jOJHUGZa,105,1-0,White
GKYf8wpL,94,0-1,Black
cXzPnP6A,135,0-1,White
JM2zN2CT,91,1-0,White
pWlK4p07,80,0-1,Black
tUfmksYD,57,1-0,White
y4Qy6s4E,58,0-1,Black
OCFDAEDl,109,0-1,White
sBzkTL9J,90,1-0,Black
aGCNwL2x,71,1-0,White
9MGSDDZF,60,0-1,Black
1w6PkPnA,78,0-1,Black
AlQOyIaT,77,1-0,White
QqMCFpyC,99,1/2-1/2,White
7BVyatyU,47,1-0,White
0mvW60Sd,74,0-1,Black
u4RGlMl2,37,1-0,White
5mieLMMa,137,1-0,White
2A5ZGB1w,54,0-1,Black
AzzXrJn6,101,1-0,White
UnabckfG,85,1-0,White
QUlKyDwl,66,0-1,Black
CkDM4pk4,129,1/2-1/2,White
IUfL4P6Z,58,0-1,Black
IYrz4dEg,40,0-1,Black
flO1pkbQ,88,1-0,Black
VbvTvihY,122,0-1,Black
UA1hZ0Gm,98,0-1,Black
85GP7In6,63,1-0,White
D58TYyDz,105,1-0,White
RCvyeNxT,78,0-1,Black
KpU2IeWJ,51,1-0,White
