lichess_id,ply,result,risck_player
XajeH7lC,62,0-1,Black
VFF2a819,66,0-1,Black
1gljBPsu,102,0-1,Black
NC2bHkul,67,0-1,White
Jr6SjhsY,61,1-0,White
bkkUt4u1,93,1-0,White
HKEkvzWF,150,0-1,Black
cSMF5wZv,69,1-0,White
kQCHBjiX,82,0-1,Black
iezvMZ70,96,0-1,Black
UUaDoxUM,106,0-1,Black
pab4sBwx,127,1-0,White
51DIhhOX,174,0-1,Black
h9pBM8HX,96,1-0,Black
onzQ2KUQ,72,0-1,Black
2IouZ09w,61,1-0,White
pKtPxBKV,69,1-0,White
PgZlALjs,144,1/2-1/2,Black
qL93M6We,92,0-1,Black
Le9Zp8M2,94,0-1,Black
bMqambYq,65,1-0,White
BMqFfPTX,55,0-1,White
4VuoTvWO,64,0-1,Black
Fga5G2iQ,72,0-1,Black
70ERjfTn,75,1-0,White
UWUTLy8W,67,1-0,White
BN5UjiAg,53,1-0,White
GAGxbIpJ,85,1/2-1/2,White
CryqfeIJ,105,1-0,White
Y6MH7nXV,133,1-0,White
6SUFZffl,76,0-1,Black
kLOAFNpa,124,0-1,Black
pWXRdqKF,70,0-1,Black
QFWiZJYj,91,0-1,White
FEKipWXN,102,0-1,Black
4qPQj2TD,82,0-1,Black
blepUiLs,71,1-0,White
XvMl6lDj,71,1-0,White
O9q6POj0,135,1-0,White
06j3rZ3s,108,0-1,Black
zcx37T3u,66,0-1,Black
5qMKhg5E,92,1-0,Black
Q43KHRl7,61,0-1,White
8HO26qi3,107,1-0,White
RySgdxsh,84,1-0,Black
N5vNaELd,56,0-1,Black
rkNktXpA,62,0-1,Black
CRQcZlEm,101,1/2-1/2,White
QGakCXS7,90,0-1,Black
1daRNRLt,107,0-1,White
KpAzMjXj,87,1-0,White
oe005EGI,36,0-1,Black
SJd5S8DB,62,0-1,Black
S9YDnHHV,76,0-1,Black
2r8OrcNo,74,0-1,Black
l0CVNxGo,71,1-0,White
MAxGcCiX,44,0-1,Black
qS6Ctsmx,87,1-0,White
i2SA4V77,87,1-0,White
NDOT8C3c,93,1-0,White
g0lPPtOV,139,0-1,White
BpywMBUC,60,0-1,Black
s8yk04vX,44,0-1,Black
eeI2h6eL,63,1-0,White
S20SHaWd,67,1-0,White
ENRgG2MQ,57,0-1,White
afJWH52Z,64,0-1,Black
NLwfpiK0,71,1-0,White
1evuOAe3,102,0-1,Black
EsZs4foc,60,0-1,Black
5QBSlS6e,49,1-0,White
0DubaPjM,116,0-1,Black
H0EvzJvq,122,0-1,Black
3u0NKfFS,90,1/2-1/2,Black
0ZYVjRcr,123,1-0,White
lH6ABhqN,61,1-0,White
RLkNTrj1,69,1-0,White
JzwhMdcE,111,1-0,White
h9gBGumY,79,1-0,White
embQ26wI,104,0-1,Black
orn1RR0W,133,1-0,White
llQlHlA2,124,0-1,Black
oLbZEOBg,56,0-1,Black
Hy6QvViX,71,1-0,White
GSoWmDL1,92,0-1,Black
V2m5DVh2,74,0-1,Black
Hc6HRf17,65,1-0,White
NuWeRVBH,91,1-0,White
ClZo8uxW,77,1-0,White
ER8Rf1pa,61,1-0,White
G9bjN2nY,55,1-0,White
d4vuJ0SL,85,1-0,White
NK4ywBXL,89,1-0,White
pCa8Pxmt,49,1-0,White
N4itJREt,102,0-1,Black
Lpnxsnnj,71,1/2-1/2,White
pSyMBT6I,61,1-0,White
ZSXiKACv,45,1-0,White
qNUhSyOb,38,0-1,Black
FUJHfzot,66,0-1,Black
AczGtDoF,66,0-1,Black
gBWWPRIW,98,0-1,Black
WipYf4kg,56,0-1,Black
2q3S78LN,71,1-0,White
kp4sZAdQ,122,1-0,Black
on62QmR6,89,1-0,White
SvApSkeV,69,1-0,White
Asdd7IhG,99,1-0,White
rpZUCKTr,73,1-0,White
imBjnp7l,65,1-0,White
8HKbsfPn,90,1-0,Black
4bAolwlR,72,1-0,Black
D0XVQS0n,137,1-0,White
AZi8FOkO,84,0-1,Black
KSAt9Sjm,73,1-0,White
7baOzSaI,65,0-1,White
sLQrj4IZ,98,0-1,Black
MQ37Gwgx,82,0-1,Black
KNd5CLT6,104,0-1,Black
PNLaikSo,126,0-1,Black
dyQ6bEAu,86,0-1,Black
4YQ9MLHK,71,1-0,White
TVykXUzA,110,0-1,Black
MqI9TbWn,70,0-1,Black
hVZmebvQ,115,0-1,White
j9Nfjisf,85,1-0,White
7OvlZDMA,115,0-1,White
ObC6snvs,64,0-1,Black
8NiyleDn,90,0-1,Black
g1l3RtFy,38,0-1,Black
0jmbzPuP,63,0-1,White
oP22q6fJ,89,1-0,White
4ybpnpsR,142,0-1,Black
1iUdh0Pv,102,0-1,Black
5TseykAY,102,1-0,Black
yT7ZUemO,113,1-0,White
hxxBn5tS,82,0-1,Black
delMrPJC,77,1-0,White
YFKssKRP,72,1/2-1/2,Black
xcqrQaLq,89,1-0,White
NRCpxqPu,60,0-1,Black
iuHs6dRh,71,1-0,White
QAuHyJTa,94,0-1,Black
7vuEb3WM,130,0-1,Black
X6aD7axA,78,0-1,Black
MEOKBOqJ,60,0-1,Black
gQCS3WLR,81,1-0,White
sbw1LKQE,76,1-0,Black
WVrjW3Gw,68,0-1,Black
wWLGt1ks,48,0-1,Black
Vm8dwXh7,67,1-0,White
iiFSwii1,104,1/2-1/2,Black
vB2mHjuj,87,1-0,White
nThTGJqS,82,0-1,Black
7IzrBaBE,65,1-0,White
J0PAqp2E,130,1-0,Black
H5XpHrb2,84,0-1,Black
RIrulJdm,51,1-0,White
RpkQdBeK,50,0-1,Black
197irna6,54,0-1,Black
0y5g3avm,119,1-0,White
XXzjnaKk,66,0-1,Black
envOQ2pa,62,0-1,Black
PRoFuZjB,57,1-0,White
piX5fMid,56,0-1,Black
o8y8Pbvm,99,1-0,White
htZlyqoq,75,1-0,White
t2sGbHlT,86,0-1,Black
D1iutJRD,42,0-1,Black
sYlIVhOp,65,1-0,White
50kFZwmA,69,0-1,White
KywRi9Jj,74,0-1,Black
nbgwqVAQ,84,0-1,Black
AK2TVvf3,83,1-0,White
WLkZIG5t,51,1-0,White
IhzNxLUw,57,1-0,White
GxNepOxq,48,0-1,Black
MRCKSmds,131,1-0,White
ET6hXGKt,78,0-1,Black
VsjXzJD8,75,1-0,White
YYwBcevK,81,1-0,White
FwRGFJHe,71,0-1,White
51aG5Wlm,69,1-0,White
KRgz0ANg,71,1-0,White
r08HsgAd,121,1-0,White
LVHjDpAr,103,0-1,White
gboarOq6,70,0-1,Black
QnUnpiVc,80,0-1,Black
KikZmeVm,100,0-1,Black
0MANQBo9,162,0-1,Black
2y4IRDBU,98,1-0,Black
xODqRJoV,87,1-0,White
FoyQkkt6,118,0-1,Black
ZrJclNVV,93,1-0,White
nrGnlf0v,76,1-0,Black
WTupmDWP,82,0-1,Black
pQ4HxBSB,90,0-1,Black
JUX4Tmrt,109,0-1,White
gzpyILGc,59,1-0,White
HYBO430O,112,0-1,Black
847XefED,74,0-1,Black
P6gHP0aq,34,0-1,Black
xeMTxZtc,71,1-0,White
u7otFmeK,62,0-1,Black
hXlHlBE7,129,1-0,White
TWM3hH9t,57,1-0,White
GRIoAT0s,71,1-0,White
0R2RxMT1,70,0-1,Black
4cbsR0MU,49,1-0,White
RW0VMG8P,131,1-0,White
XgJXWdY9,84,0-1,Black
TmM34LsX,64,0-1,Black
TBXwClfF,81,1-0,White
JDSrZO0A,138,1-0,Black
QpmEskGe,84,0-1,Black
dYYsoEUj,105,1-0,White
0ljrGZBO,79,1-0,White
oIVzb568,69,1-0,White
2UppXt6O,62,0-1,Black
x0FOGIzt,91,1-0,White
8jfLtVU5,66,0-1,Black
vKmemBiI,76,0-1,Black
JT0LPeid,51,1-0,White
AefRzyxr,38,0-1,Black
wWioTqkW,72,1-0,Black
I3pS0gdd,66,0-1,Black
jVSFvPys,134,0-1,Black
Op3XB7S6,109,1-0,White
QKo1sTut,74,0-1,Black
EoJyEJ0f,58,0-1,Black
fXtuZfaf,38,0-1,Black
jNMqFW1j,97,1-0,White
5jf4dlBI,56,0-1,Black
Ma1LfKvz,95,0-1,White
J1UpcUTB,106,1/2-1/2,Black
D6o0ftit,124,0-1,Black
Au55yaTY,72,0-1,Black
55fn1cZX,80,0-1,Black
O7qLMT4j,142,0-1,Black
L6Ljq8wy,144,0-1,Black
AIHPF8I1,42,0-1,Black
gk0zsNYt,64,0-1,Black
pS5HpRWG,55,1-0,White
57ee06Gh,78,0-1,Black
ZQNfzuvj,81,1-0,White
lE4o6FL5,76,0-1,Black
dccblnvW,66,0-1,Black
Xkbq5R9W,80,0-1,Black
ChJX28SZ,105,1-0,White
sBJrebrd,77,1-0,White
vTV74Z5Z,48,0-1,Black
H0lckyKJ,78,0-1,Black
DzRcmMpP,72,0-1,Black
r6D012d1,85,1-0,White
ZoIwjD7m,46,0-1,Black
avsz5PZ6,42,0-1,Black
irEA8daX,36,0-1,Black
h5WxaGQK,75,1-0,White
wGrBA5ZE,79,1-0,White
8zBl5g3J,44,0-1,Black
q6epDc4i,68,0-1,Black
KSmfnrga,93,1-0,White
HACWHybE,131,1-0,White
vZ35Ncvb,70,0-1,Black
Rp6BqALG,126,0-1,Black
sWdE8Vrm,93,1-0,White
5md0u4m0,91,1-0,White
JsjPbjdv,96,0-1,Black
NBKW8Idz,54,0-1,Black
7wAulaa5,84,0-1,Black
Ahs2dDKl,88,0-1,Black
HPCaZnEG,66,0-1,Black
J4z9Foo2,69,1-0,White
