lichess_id,ply,result,risck_player
cNuOYnEq,55,1-0,White
KwwT2pga,72,1-0,Black
NSIzHmNq,59,0-1,White
M7EC4qNi,59,1-0,White
GSLj6Gbd,61,1-0,White
E0jx30ZA,37,1-0,White
JhvutMPA,74,1-0,Black
85oxv3AM,76,0-1,Black
alpHyT97,90,0-1,Black
2DFiv808,66,0-1,Black
PagHJF1Y,84,1-0,Black
jyK6gj59,99,0-1,White
7RR6bzRd,64,1-0,Black
eSpFLBqT,99,0-1,White
LUjWlWgz,71,1-0,White
CixlR7Wn,60,0-1,Black
bs28K4We,65,0-1,White
pZlXQD97,69,1-0,White
qmhLd4Pf,59,0-1,White
8Rvnzr5R,70,1-0,Black
F0c289ax,87,0-1,White
yBMyy3yJ,135,1-0,White
gef24TTC,66,0-1,Black
4rlSDmxc,65,1-0,White
K4RmuGVZ,72,0-1,Black
gn7vpXdq,66,0-1,Black
e1mwAxtI,71,1-0,White
5byihgtC,54,0-1,Black
vYacEIKI,85,1-0,White
9KfJvT6o,55,1-0,White
ThanrX34,104,0-1,Black
vXm9yHHn,91,1-0,White
RCcXZePq,69,0-1,White
OyJt6mAU,42,0-1,Black
6QpQalci,57,1-0,White
Ey8TCuYo,81,0-1,White
aSUSMXfZ,85,0-1,White
v65021Rt,125,1-0,White
McIrLCt6,106,0-1,Black
EOCF7HcN,38,1-0,Black
2hbqBTg0,75,1-0,White
7FxSdy3N,64,1-0,Black
XVctSRRX,105,1/2-1/2,White
B2qaTiIm,85,1-0,White
Ffm0z5nq,127,0-1,White
Hw1zVvKQ,128,0-1,Black
HKlquRHQ,70,0-1,Black
9nmryLhF,130,1-0,Black
vT8nqE9A,49,1-0,White
T90osmSc,52,1-0,Black
tHBG9vyi,117,0-1,White
99m47LtE,55,1-0,White
bQ1NOZtF,65,1-0,White
L62GRzen,96,0-1,Black
R7WVdeNQ,152,0-1,Black
Fi89STtm,70,0-1,Black
Dukmj2K1,63,1-0,White
9Tch9zu5,55,1-0,White
EWGwR5D5,104,0-1,Black
0CMP4ziW,111,1-0,White
3lbHLCDv,84,0-1,Black
4ZFUxuN3,111,1-0,White
Kd0QYHTC,71,1-0,White
53LEsJwl,81,1-0,White
xeozfK3R,68,0-1,Black
hiYs886I,82,0-1,Black
FM6KMhdk,54,0-1,Black
CX3RoxXg,90,1-0,Black
KRro3ZcU,81,1/2-1/2,White
TLEeAX90,64,0-1,Black
FLnZJKvd,94,0-1,Black
xOLaa3YM,34,0-1,Black
SjmNmYrM,50,0-1,Black
QYVPQx0H,68,0-1,Black
H0QeimkC,66,0-1,Black
h7pU3drg,83,0-1,White
DEwHztg3,117,1/2-1/2,White
IMHpXH8P,68,1-0,Black
8aU5lrsU,71,0-1,White
ViU53VvM,95,1-0,White
S69daflV,87,0-1,White
au5BKCaR,47,1-0,White
berF2Z9M,49,1-0,White
rZ9zbuYp,85,1-0,White
3zoUxOB3,82,0-1,Black
m5McXPs8,74,0-1,Black
165jPhNV,114,0-1,Black
FqxG5mL0,69,1-0,White
dsBKUNFL,81,1-0,White
JSOpHHH2,106,0-1,Black
3tuqqtNq,73,1-0,White
fPbk9Jei,89,1-0,White
rFjvHJyh,72,0-1,Black
ihUAH4rC,35,1-0,White
CmruA3jo,112,1-0,Black
1Lw8nMEE,83,1-0,White
AaUe6Fp5,126,0-1,Black
rA8UIOYr,76,0-1,Black
JEvaBHzf,85,1-0,White
OYwPOBSD,86,0-1,Black
jsDLglQE,73,0-1,White
vNTIqXe7,55,0-1,White
8DBGX5hU,70,0-1,Black
2YhOWRxW,83,1-0,White
7Q3LmdxO,66,1-0,Black
estjZ0lG,57,1-0,White
J5j8yqq2,58,0-1,Black
h7T8jWuN,74,0-1,Black
xcJAhXWz,93,1-0,White
BeVPks1m,71,1-0,White
9VKDwIQX,77,1-0,White
ynLuy2eR,105,0-1,White
JGddSZdl,74,0-1,Black
8jpsHRlL,97,1-0,White
pi36IOua,56,0-1,Black
3AE5R4gt,60,0-1,Black
rms8Onkd,68,0-1,Black
aWCnGWXB,71,1-0,White
2Exqq5bF,128,0-1,Black
6gnLgic3,85,1-0,White
BcEFiEKc,111,1-0,White
852NRpP8,112,0-1,Black
24oaTeEc,70,0-1,Black
F7Lb8gxJ,83,0-1,White
3S90SijS,107,1-0,White
EWHg0fzX,57,1-0,White
MejU0dPK,60,0-1,Black
Ge4wxrUx,70,0-1,Black
2A07UyWz,81,1-0,White
2XJIjeQo,74,0-1,Black
pEUda3WQ,62,0-1,Black
U4I9hUoN,146,0-1,Black
69gdjJHf,91,1-0,White
0KbQXok4,71,1-0,White
FK2rPeTU,90,0-1,Black
Thbv7r2j,61,1-0,White
7AZmQ56d,90,1-0,Black
Fgaca7Rn,62,0-1,Black
66aIMQnd,88,0-1,Black
FfOfaFuv,61,1-0,White
80MFSyWY,50,0-1,Black
9yHfT6Mc,81,1-0,White
qZR0IVdR,71,1-0,White
MAHAcfQa,51,1-0,White
TPwtj5Ww,70,0-1,Black
r58bfiOo,57,1-0,White
5L33vUDf,117,0-1,White
pew1ec6O,67,0-1,White
wiCJNbyz,48,0-1,Black
oTnzTMuu,59,1-0,White
wZRCDlGi,66,1-0,Black
6TeU3hqX,79,1-0,White
8B4BdEHk,71,1/2-1/2,White
5AfhgG7X,70,0-1,Black
XWBouUtE,68,0-1,Black
XWBouUtE,106,0-1,Black
akC5kL5m,135,1-0,White
UOeVrepT,73,1-0,White
FISpMegd,61,1-0,White
uHpQqHmW,71,1-0,White
wAEvshJm,74,1-0,Black
GhwaKBsx,87,1-0,White
cViebBSl,75,1-0,White
FVKId3Qr,93,0-1,White
FaM9y5XG,36,0-1,Black
xvlh0FOf,49,1-0,White
QPnHgA3g,72,0-1,Black
MztjZjzZ,83,0-1,White
LdZFxoGZ,81,1-0,White
izBimUBx,69,1-0,White
jkB3FeRx,44,0-1,Black
eibaXkD5,84,0-1,Black
cyMMGWuF,65,1-0,White
bceNeHPl,84,0-1,Black
XHSw8XQ4,75,1-0,White
jCiABUKy,87,0-1,White
Oi4iIsY0,97,1-0,White
0sJVotCh,114,0-1,Black
Kc9K9k5X,62,0-1,Black
Rbv9uuBz,66,0-1,Black
2NC4rLcH,75,1-0,White
7qPwU6ns,109,0-1,White
tPeRPnF7,187,1-0,White
14MTYyio,66,0-1,Black
X908f8k2,88,1-0,Black
tEgVPRqF,98,1-0,Black
2aKHzbwu,67,1-0,White
TLoJf78k,77,1-0,White
E9OKjsbI,104,1-0,Black
SvGPuJot,62,0-1,Black
gRe0qIGn,138,1/2-1/2,Black
p7DUs1Ua,74,0-1,Black
L7Pa2eQv,90,0-1,Black
e2kPHYNt,88,0-1,Black
yAckolSq,72,0-1,Black
1RQhUZ59,84,0-1,Black
LcVKQM99,89,1-0,White
pojGO8oI,84,0-1,Black
pojGO8oI,86,0-1,Black
In9iX8Cq,68,0-1,Black
Ha7I6O3g,103,1-0,White
nlbl7SV2,90,0-1,Black
kMZh8pBy,95,1-0,White
08e4Y9bV,115,1/2-1/2,White
VWxcx2k1,87,1-0,White
Euwufa1D,51,1-0,White
5V0RDErQ,76,1-0,Black
ea1A3njw,54,1-0,Black
4hhCAEuu,68,0-1,Black
98zRVLX0,70,0-1,Black
WnGYXDfl,54,0-1,Black
Hbf3514j,58,0-1,Black
0ChP0RyA,75,0-1,White
Uktg5Lvu,53,1-0,White
ZOLdV3oe,95,1/2-1/2,White
DU9wGgG4,104,1-0,Black
FaxknieC,89,1-0,White
OFlSdvK3,63,0-1,White
1m4I6VOP,105,0-1,White
GihDOkQg,71,1-0,White
Qkttgq1w,117,1-0,White
E5QK7nqc,93,1-0,White
yVvJveve,61,1-0,White
BONFjp7r,109,1-0,White
CHT6DwLU,84,0-1,Black
9tAfQrit,74,1-0,Black
3FoXlttI,68,0-1,Black
YsJF8xZD,47,1-0,White
IyLrlvDM,54,0-1,Black
S7KcaNty,108,0-1,Black
KxRCyOT0,121,0-1,White
E30Sz8A8,49,1-0,White
ddqLtBP2,90,0-1,Black
28St8k31,82,0-1,Black
lpfLwJqT,95,0-1,White
tpy54flT,79,1-0,White
NfQLzpd7,76,0-1,Black
c3o7N0W3,104,0-1,Black
zzXLxCQj,84,1-0,Black
g1JX6IL5,120,1-0,Black
iBeix6Wz,79,1-0,White
42fS6ied,75,1/2-1/2,White
DVyleW46,126,0-1,Black
mDbZigsk,98,1-0,Black
9nFzLfQy,59,1-0,White
p8vfKy5o,48,0-1,Black
Vyxwwujw,86,0-1,Black
kt9utXfU,60,0-1,Black
Gyf6nxil,73,0-1,White
MaL7DGzA,50,0-1,Black
sG4VLG42,95,0-1,White
NOWw6joC,68,0-1,Black
UHwHTGfi,127,1/2-1/2,White
7Fz5eisj,92,1-0,Black
galEmaNE,67,1-0,White
54YukWxA,70,0-1,Black
QYNtedpy,122,0-1,Black
Kure3uOK,125,1-0,White
OVNuJKqi,72,0-1,Black
NsM8P4cT,62,1-0,Black
atR8J9Of,95,0-1,White
YKoWU3Ky,71,1-0,White
D3rCFC5d,59,1-0,White
bF9LTjj9,101,1-0,White
7DCqM9Ts,73,1-0,White
7DCqM9Ts,75,1-0,White
secLkJ89,61,1-0,White
8SPJoF9L,84,0-1,Black
0NkeROmS,53,1-0,White
f9Zb7hmC,86,0-1,Black
6v2SLpCE,77,1-0,White
PRZmMNEn,115,1-0,White
dNaKkAgw,74,0-1,Black
ubVSuVki,74,0-1,Black
56MR0x0v,60,0-1,Black
56MR0x0v,62,0-1,Black
0d2HaRAE,90,0-1,Black
bhvHgbKH,68,0-1,Black
V2qWdDg0,76,0-1,Black
3LnaD5wW,89,1-0,White
f5HbPzsr,73,1-0,White
NTJKLWEv,65,1-0,White
1Wky7Gb8,63,1-0,White
0fQpcRbd,85,1-0,White
MRuMCemN,70,0-1,Black
OxDtiH1k,45,1-0,White
IqFlODmT,114,0-1,Black
DoMewku7,88,1-0,Black
ftDJ5prF,77,1-0,White
yBgyBz4j,73,1-0,White
MZGDeMy6,120,1/2-1/2,Black
GzEOrwV6,106,0-1,Black
9JW7CJ6f,78,0-1,Black
5JPcO5ED,81,1-0,White
MJp8ra2T,53,1-0,White
SeqAbQdB,64,0-1,Black
dT52p8NQ,75,1-0,White
KjGnV9E6,52,0-1,Black
ftsUwGpT,60,1-0,Black
ehH2Q0mL,91,1-0,White
pzym6jkw,102,0-1,Black
Vul8Pjfx,71,1-0,White
9JqbaUkE,64,0-1,Black
JR9Vogcm,60,0-1,Black
m0WADKFt,77,1-0,White
sMZ7X8QJ,62,0-1,Black
Z6gBkgic,82,0-1,Black
2UDsgRud,69,1-0,White
dxeoFCjW,107,0-1,White
4KNaFaf2,106,0-1,Black
IuZnNk6U,147,0-1,White
JGHPlueC,34,0-1,Black
