lichess_id,ply,result,risck_player
zfklLnco,162,1-0,Black
EiA2N62I,75,1-0,White
dP5YdB0H,109,1-0,White
0NxCJ8MM,78,0-1,Black
rNL6illl,56,0-1,Black
OllVZfTq,68,0-1,Black
Sw2lpebv,90,1-0,Black
ugLW3su3,83,1-0,White
KNmVaNjQ,97,0-1,White
DrrrNtnW,88,1-0,Black
wMM44iCk,117,0-1,White
HDLKL3nr,104,1-0,Black
5Ss4gAPn,88,0-1,Black
0Fz8awvZ,106,0-1,Black
vEgVeqeA,87,0-1,White
zTDncVKg,67,1-0,White
r7G58qRE,121,1-0,White
sXQ1C9iA,71,0-1,White
CIb9Pd61,78,0-1,Black
cow8lstp,71,1-0,White
H8GwSFPx,90,0-1,Black
yHVSBWWP,65,1-0,White
riW6MHZt,73,0-1,White
JWh454j3,66,1-0,Black
OsIrdsGk,65,1-0,White
0EFnWzNy,63,1-0,White
8Z4EKJZg,62,0-1,Black
MBYZkGKZ,45,1-0,White
dVwZpq52,89,1-0,White
irzwseE2,81,0-1,White
DosvwXln,43,1-0,White
1h5fpxX3,122,0-1,Black
BMC0aRsO,102,1/2-1/2,Black
KUUHgzbk,72,0-1,Black
LwnXZf3A,100,0-1,Black
pPl9oB1d,123,1-0,White
vlvVWmy5,63,1-0,White
strFtUme,69,1-0,White
bd9GHMAt,90,0-1,Black
r2EUuIa2,75,0-1,White
nnU9aQPw,54,0-1,Black
4IC8cYq6,69,1-0,White
DVvW4Ann,141,1-0,White
72654VUz,81,1-0,White
A1uHcXPT,92,0-1,Black
SdgxJuhf,61,1-0,White
dNtcX1mu,61,1-0,White
xXb7yTU3,73,1-0,White
4VFmPmZP,78,0-1,Black
vdXdk6V7,60,0-1,Black
EPtLMnWf,43,1-0,White
GU5KAuks,72,1-0,Black
hiCFNEyu,63,1-0,White
xNqUW4GH,79,1-0,White
TeeG5pRd,106,0-1,Black
TuKAebt7,72,0-1,Black
PYZkuw5v,86,0-1,Black
ozfqod9p,57,0-1,White
gVTAE1pn,60,1-0,Black
pSNABdHH,58,1-0,Black
ZMJ0H8k1,51,0-1,White
yNCY7Xe2,97,1-0,White
9M5bIDmT,104,1-0,Black
O3T830Tq,63,1-0,White
hq0Un7c7,49,1-0,White
lfX1wcpG,60,1-0,Black
b9W7duL9,81,1-0,White
Dk2VxauA,142,1/2-1/2,Black
Fk0VTysa,109,0-1,White
Jluh9wQQ,67,1-0,White
ATQoHEZl,81,1-0,White
rvedyxHx,50,0-1,Black
nSt0Fdwb,111,1-0,White
Z0BqozXQ,85,0-1,White
G6MkOWXy,77,1-0,White
ZfuqhiIE,97,1/2-1/2,White
AZGh7qpg,60,0-1,Black
7kmGa5hV,106,0-1,Black
xLVTpYAx,72,0-1,Black
EdO6fZMo,75,1-0,White
0h4M3O9G,70,1-0,Black
w9vDnHyX,66,0-1,Black
w9vDnHyX,68,0-1,Black
VSm2oPaZ,61,1-0,White
iyEMXEB1,74,1-0,Black
m7quVDhQ,73,1-0,White
M6VvT9KS,88,0-1,Black
RVwX65p0,61,1-0,White
Rtoea87E,60,0-1,Black
gxuaSkgM,79,0-1,White
JrRZsurK,65,1-0,White
KNmjw73Q,67,1-0,White
KNmjw73Q,69,1-0,White
Z05dG7dQ,101,1-0,White
i8iG80bV,57,1-0,White
ybPtCAOI,83,1-0,White
kzA5MnQ6,60,0-1,Black
Nbo7iDFL,73,1-0,White
PUYCzdto,118,0-1,Black
BnmeqGhi,91,1-0,White
tjnaABPI,95,1-0,White
Y7awbEZt,53,1-0,White
xDFZrlC7,65,1-0,White
